website,city,country,name,state,postgraduate_num,rank,undergraduate_num
"22,074",特拉华大学 ,198,纽华克,"18,322*(3)",特拉华州,美国,"中部各州学院及学校协会,（MSA）"
"21,243",塔斯马尼亚大学 ,203,"霍巴特,*(2)","5,540",塔斯马尼亚,澳大利亚,联邦大学协会（ACU）*(2)
"18,395*(3)",康涅狄格大学 ,201,斯托尔斯,"8,146*(3)",康涅狄格州,美国,www.uconn.edu
"23,301*(2)",纽卡斯尔大学（澳洲） ,190,纽卡斯尔*(2),"8,102*(2)",新南威尔士州,澳大利亚*(2),www.newcastle.edu.au
"全日制9,235；非全日制85*(3)",雷丁大学 ,195,雷丁,"全日制2,690；非全日制1,585*(3)",英格兰,英国,www.reading.ac.uk
"31,190*(3)",南佛罗里达大学 ,187,坦帕,"10,942*(3)",佛罗里达州,美国,www.usf.edu
"7,562*(3)",乔治敦大学 ,183,华盛顿,"10,897*(3)","哥伦比亚,特区",美国,www.georgetown.edu
"25,260",内布拉斯加大学林肯分校 ,180,林肯,"20,182*(4)",内布拉斯加州,美国,"中北部学院及学校协会,（NCACS）"
"20,145*(1)",卧龙岗大学 ,191,"卧龙岗,（Wollongong）","8,819*(1)",新南威尔士州,澳大利亚,www.uow.edu.au
"17,140（含全日制与非全日制）*(2)",东安格利亚大学 ,177,英格兰,"全日制11,170；非全日制920 *(2)",英国,QS世界：33(240)；Times国内：18,1994集团
"27,547*(3)",佐治亚大学 ,175,"阿森斯,（Athens,GA）","8,583*(3)",佐治亚州,美国,www.uga.edu
"35,794*(3)",迪肯大学 ,176,"墨尔本,（Melbourne）*(1) ","1,708（研究型项目）；11,863（授课型项目）*(3)",维多利亚州,澳大利亚,www.deakin.edu.au
-,格里菲斯大学 ,174,"布里斯班,（Brisbane）",-,昆士兰州,澳大利亚,www.griffith.edu.au
"2,744*(6)",叶史瓦大学 ,169,纽约市,"3,459*(6)",纽约州,美国,www.yu.edu
"38,362*(4)",科廷大学 ,173,珀斯,"授课型：8,597,研究型：2,306*(4)",西澳大利亚州,澳大利亚,www.curtin.edu.au
"3,621*(3)",布兰迪斯大学 ,166,沃尔瑟姆,"2,131*(3)",马萨诸塞州,美国,www.brandeis.edu
"25,164*(2)",悉尼科技大学 ,172,悉尼,"12,509*(2)","新南威尔士州,*(2)",澳大利亚,www.uts.edu.au
"11,157*(4)",乔治华盛顿大学 ,170,华盛顿,"15,055*(4)","哥伦比亚,特区",美国,www.gwu.edu
"24,433*(3)",科罗拉多州立大学 ,163,柯林斯堡,"7,510*(3)",科罗拉多州,美国,www.colostate.edu
"24,708",堪萨斯大学 ,162,劳伦斯,"18,736*(3)",堪萨斯州,美国,"中北部学院及学校协会,（NCACS）"
"25,318*(4)",弗吉尼亚理工学院 ,165,黑堡,"5,280*(4)",弗吉尼亚州,美国,www.vt.edu
"19,829*4)",纽约州立大学水牛城分校 ,161,水牛城,"10,115*(4)",纽约州,美国,www.buffalo.edu
"全日制9,260；非全日制150*(2)",兰卡斯特大学 ,164,兰卡斯特,"全日制2,215；非全日制1,450*(2)",英格兰,英国,www.lancs.ac.uk
"20,522*(7)",新墨西哥大学 ,154,阿布奎基,"6,831*(7)",新墨西哥州,美国,www.unm.edu
"15,575",德克萨斯大学达拉斯分校 ,152,达拉斯,"8,979",德克萨斯州,美国,UTDallas.edu
"4,307*(4)",达特茅斯学院 ,148,汉诺威,"2,043*(4)",新罕布什尔州,美国,www.dartmouth.edu
"全日制3,965；非全日制70*(2)",伦敦政治经济学院 ,158,伦敦,"全日制5,510；非全日制605*(2)",英格兰,英国,www.lse.ac.u
"全日制10,050；非全日制855*(2)",莱斯特大学 ,150,莱斯特,"全日制3,520；非全日制2,325*(2)",英格兰,英国,
"27,633*(2)",麦考瑞大学 ,151,悉尼,"11,114*(2)",新南威尔士州,澳大利亚,www.mq.edu.au
"24,473*(3)",北卡罗来纳州立大学 ,147,罗利,"9,516*(3)",北卡罗来纳州,美国,www.ncsu.edu
"21,863*(4)",田纳西大学 ,136,诺克斯维尔,"5,982*(4)",田纳西州,美国,www.utk.edu*(5)
"36,087",辛辛那提大学 ,135,辛辛那提,"25,054*(3)",俄亥俄州,美国,"中北部学院及学校协会,（NCACS）"
"32,640*(4)",佛罗里达州立大学 ,130,塔拉哈希,"8,280*(4)",佛罗里达州,美国,"www.fsu.edu, *(4)"
"17,990*(3)",东北大学 ,140,波士顿,"6,954*(3)",马萨诸塞州,美国,www.northeastern.edu
"17,575*(4)",伊利诺伊大学芝加哥分校 ,134,芝加哥,"11,473*(4)",伊利诺伊州,美国,www.uic.edu*(5)
"全日制12,280；非全日制260*(2)",杜伦大学 ,123,杜伦,"全日制3,205；非全日制1,450*(2)",英格兰,英国,www.dur.ac.uk
"8,462*(4)",圣母大学 ,126,诺特丹,"3,830*(4)",印第安纳州,美国,www.nd.edu
"11,273*(3)",迈阿密大学 ,122,科勒尔盖布尔斯,"5,501*(3)",佛罗里达州,美国,www.miami.edu
"11,679*(6)",阿拉巴马大学伯明翰分校 ,118,伯明翰,"7,019*(6)",阿拉巴马州,美国,www.uab.edu
"15,714（不含Part-time）*3)",纽约州立大学石溪分校 ,115,石溪,"5,336（不含Part-time）*(3)",纽约州,美国,www.stonybrook.edu
"23,357*(3)",爱荷华大学 ,112,爱荷华城,"7,487*(3)",爱荷华州,美国,www.uiowa.edu
